Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
10/02/11 8:46,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 8:49,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 8:58,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 9:02,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 9:04,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 9:10,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 9:14,VR2W-109032,A69-9002-2116,,,5,ADC,,,
10/02/11 9:18,VR2W-109032,A69-9002-2116,,,6,ADC,,,
10/02/11 9:21,VR2W-109032,A69-9002-2116,,,5,ADC,,,
10/02/11 9:23,VR2W-109032,A69-9002-2116,,,6,ADC,,,
10/02/11 9:25,VR2W-109032,A69-9002-2116,,,5,ADC,,,
10/02/11 9:27,VR2W-109032,A69-9002-2116,,,7,ADC,,,
10/02/11 9:28,VR2W-109032,A69-9002-2116,,,6,ADC,,,
10/02/11 9:30,VR2W-109032,A69-9002-2116,,,6,ADC,,,
10/02/11 9:31,VR2W-109032,A69-9002-2116,,,6,ADC,,,
10/02/11 9:34,VR2W-109032,A69-9002-2116,,,6,ADC,,,
10/02/11 9:35,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 9:36,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 9:37,VR2W-109032,A69-9002-2116,,,4,ADC,,,
10/02/11 9:39,VR2W-109032,A69-9002-2116,,,7,ADC,,,
